Ticker,PE,PB,EV_EBITDA,ROE,IndustryPE,IndustryPB,IndustryEV_EBITDA,IndustryROE,MarketPE,MarketPB,Beta1Y
APL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0449441793213657
ARM,16.90281,3.40577,7.7245,20.15951,16.90281,3.40577,7.7245,20.15951,12.57264,1.93341,0.117387231133891
ASG,11.79904,0.67364,4.49771,8.20317,11.88866,1.95819,8.07962,18.46725,12.57264,1.93341,0.155476857896187
ATB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.218471844264682
B82,3.98686,0.04938,23.2978,1.24293,18.31567,1.24017,11.30667,7.62861,13.51174,1.62163,0.130885917317775
BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0206677623044547
BAX,5.71292,0.98878,10.94675,18.08425,19.65438,3.17472,17.81179,18.5949,12.57264,1.93341,-0.00483900238228868
BBH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.889814242897048
BBS,7.94211,0.61269,5.10944,7.56662,7.94843,1.30514,7.41182,17.32838,12.57264,1.93341,-0.107568478890845
BCC,28.39207,0.40374,3.76178,1.17106,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.818542439644548
BCE,3.44658,0.54115,16.86913,16.54289,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.626040361113505
BCO,12.15449,0.93481,5.01793,4.67576,17.59198,1.21343,10.78467,7.97196,12.49585,1.5533,0.0
BCR,1.82861,0.07671,65.28573,4.29344,19.34765,3.11019,17.83291,18.49795,12.51229,1.92409,0.0
BDT,19.19359,0.64629,8.46923,3.5835,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.496736031688544
BHC,13.45367,-0.05257,26.3233,0.0,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.215640792629864
BMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.559373330244931
BMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177764754926907
BMP,9.23837,4.15625,4.61099,42.55956,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.913895347072484
BOT,0.43767,0.31353,4.43042,67.31578,13.55067,1.23573,10.63994,10.67909,16.00732,2.06308,0.995183401942188
BPC,22.69112,0.50602,3.36357,2.22595,7.94843,1.30514,7.41182,17.32838,12.57264,1.93341,0.655942858930621
BRS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.406650323511424
BT6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.50821215115663e-34
BTD,4.04459,0.49929,4.81139,18.32926,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,-0.164594847387873
BTG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.718541054513848
BTH,2.00945,0.87513,2.46851,51.8254,14.65099,1.63352,9.43834,16.06733,12.57264,1.93341,0.32549256889909
BTN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.720327809052514
BTS,9.78991,0.54439,4.64838,5.65871,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.0235097070922415
BTU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27958778766531
BXH,33.40409,0.66125,2.88842,1.96741,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,-0.0444007681661443
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0133941120612948
C32,10.4454,0.905,6.76699,8.21781,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.0805442311167192
C47,4.6324,0.61359,6.81949,13.94545,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.494659384505295
C4G,26.39693,0.50053,15.64081,1.8876,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.966366745264689
C69,28.51585,1.20338,20.13895,4.55887,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.655995483098773
C92,20.02459,0.30975,29.48349,1.55387,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.346494463265754
CAG,48.18235,0.54305,3.17453,1.13345,11.88866,1.95819,8.07962,18.46725,12.57264,1.93341,0.175463008212392
CAR,30.83274,1.29144,4.79755,4.28721,5.31632,0.68464,3.38565,16.98726,12.57264,1.93341,0.0616532371873133
CAV,9.36062,2.6395,5.64728,0.0,18.44403,0.8674,6.68324,0.0,13.36773,1.57737,0.143901081561421
CC1,77.39211,4.0811,83.82072,5.11309,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.332625647682971
CC4,33.756,0.61831,20.4029,3.32184,16.39627,1.17226,10.44166,8.24491,12.31537,1.62107,0.068560055120479
CCC,8.32634,0.4697,18.29588,5.75201,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.0
CCM,7.10924,1.27693,4.24683,19.0366,17.80881,1.20609,11.30253,7.63021,13.33211,1.60007,0.464445077108509
CCP,15.08067,1.08609,10.29887,6.80132,11.88866,1.95819,8.07962,18.46725,12.57264,1.93341,-0.17630182381362
CCR,8.51618,1.2143,2.77522,14.44143,11.88866,1.95819,8.07962,18.46725,12.57264,1.93341,0.289959512587779
CCT,29.98327,0.91764,5.58668,3.10876,11.88866,1.95819,8.07962,18.46725,12.57264,1.93341,0.549914864797129
CCV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC,79.52051,1.8709,43.20458,3.221,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.22954421020259
CDG,2.05654,0.18241,1.69316,8.75714,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,-1.65766839121443
CDH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211507797133332
CDN,5.89969,1.10954,3.58724,19.95477,11.88866,1.95819,8.07962,18.46725,12.57264,1.93341,0.193810767479336
CDO,29.29029,0.22298,12.91037,1.18573,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.14169529785348
CDR,22.44121,0.0,2.13747,0.0,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.473192545379466
CE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.065121130501767
CEG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0244216114626262
CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213316336052353
CGV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.759191662193168
CH5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077925715587119
CHC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.196289380836061
CI5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.320471242696093
CIA,6.16763,0.47508,2.24416,7.91368,12.49036,2.36875,4.71087,23.31272,12.57264,1.93341,0.409326670420449
CID,10.46072,0.82264,1.89637,7.86409,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,-0.529313695135268
CIG,2.8626,0.85026,29.34324,33.70491,7.3063,1.23837,13.54748,17.45876,12.57264,1.93341,0.696697047977024
CII,89.51618,0.76245,15.16228,2.26027,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,1.46127608469439
CIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.399235952963758
CJC,25.44263,1.55947,11.64184,6.26192,14.65099,1.63352,9.43834,16.06733,12.57264,1.93341,0.0
CKA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0377164390468267
CKD,5.34443,1.16017,11.88339,21.66189,7.3063,1.23837,13.54748,17.45876,12.57264,1.93341,0.10496786625019
CLH,5.10297,1.33652,3.06729,24.89332,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.127519815795853
CLL,9.5076,1.57045,6.14681,16.34521,11.88866,1.95819,8.07962,18.46725,12.57264,1.93341,0.0127265592710649
CMC,9.20069,0.66138,12.92046,7.11495,22.7644,1.0824,5.50785,4.79538,12.57264,1.93341,-0.0242606544244792
CMD,6.22676,0.84757,3.89403,13.58388,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.212655358759373
CMI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298046424243828
CMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0259355902963262
CMP,9.09972,0.66848,3.45473,7.45084,7.94843,1.30514,7.41182,17.32838,12.57264,1.93341,0.0
CMS,4.99216,0.49629,10.71231,8.62996,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,1.21699442205731
CNN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78397094906523
CPI,61.20141,-7.6711,38.43591,0.0,11.88866,1.95819,8.07962,18.46725,12.57264,1.93341,0.0967291682642948
CQN,14.94719,2.15185,10.83033,14.48548,11.88866,1.95819,8.07962,18.46725,12.57264,1.93341,-0.0877685070274647
CQT,25.02435,0.62139,3.17029,2.45667,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,-0.0656577072372774
CRC,10.61181,0.45497,8.86594,5.35412,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.438946183751002
CSC,8.90373,0.4929,8.30525,8.10968,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.736205054890315
CT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00344645083081185
CT6,8.30552,0.58357,7.76553,7.08473,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.359123342804824
CTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTB,7.77139,1.12642,5.2366,14.44113,7.3063,1.23837,13.54748,17.45876,12.57264,1.93341,0.262615786083709
CTD,16.92334,0.72758,27.71274,4.39143,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,1.42403376339993
CTI,7.73153,0.59868,5.98071,9.902,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,1.30526137688828
CTN,0.49509,-0.09852,-20.90629,0.0,17.80881,1.20609,11.30253,7.63021,13.33211,1.60007,-0.0452051286589212
CTR,15.07103,4.39595,10.9373,30.14814,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,1.46832728269486
CTT,3.5305,0.96819,4.63482,26.80852,7.3063,1.23837,13.54748,17.45876,12.57264,1.93341,0.0686432492199621
CTX,2.34135,0.40477,3.84367,17.37116,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.0
CVT,18.82872,0.87902,7.8451,4.74784,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.216282218495292
CX8,41.38183,0.89525,18.92598,2.16123,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,-0.0240355911540685
CYC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125012274409431
DAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137347457689531
DC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.393517755120817
DC2,16.52704,0.56527,9.15218,3.39807,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.171991792925212
DC4,3.56766,0.54178,3.26251,16.13343,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,1.09201048491643
DCF,26.22279,3.12524,16.73933,12.34992,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.942430274854043
DCR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.627897063027025
DCT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.640440819608986
DDB,47.0282,0.7137,24.36117,1.52105,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.0
DDH,2.92098,0.0,5.41744,0.0,28.86284,3.56491,14.01665,14.32777,12.57264,1.93341,-0.219917468465248
DDM,0.2241,-0.02352,28.2702,0.0,11.88866,1.95819,8.07962,18.46725,12.57264,1.93341,-0.604542879579547
DFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.511110821477963
DGT,31.66718,0.31634,11.65946,1.00691,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,1.22636172849408
DHA,6.97391,1.39665,4.32052,21.20566,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.758428497611331
DHP,7.71218,0.57152,4.92439,7.36971,8.46258,0.85716,4.37418,10.84477,12.57264,1.93341,-0.368397497170491
DIC,20.59303,-0.29344,14.58291,0.0,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.470189554781192
DID,18.60658,0.32397,48.85944,1.75221,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.403549308848746
DKG,74.38575,0.83089,4.71716,1.1208,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.0
DL1,11.48235,0.37991,5.62732,6.48912,11.88866,1.95819,8.07962,18.46725,12.57264,1.93341,0.673100256358
DLG,1.55928,0.60131,9.51115,45.85964,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.84902739683376
DLR,2.16797,3.05373,8.88535,231.65626,19.65438,3.17472,17.81179,18.5949,12.57264,1.93341,-0.223100586490269
DND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223959132790532
DNE,14.68936,0.86929,1.93801,0.0,11.98539,0.69168,6.996,0.0,19.07347,1.71443,-0.0531250452715612
DNL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.594346408902532
DNP,13.01651,0.44149,5.66669,5.50433,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.330978700309841
DOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.336718427158229
DPC,3.61543,0.52644,4.0604,15.59665,7.94843,1.30514,7.41182,17.32838,12.57264,1.93341,0.0892919020264864
DPG,9.4945,0.95676,11.53288,14.52007,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,1.65477995050956
DS3,15.05833,0.50897,9.19807,3.39676,11.88866,1.95819,8.07962,18.46725,12.57264,1.93341,-0.167100536634556
DSG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0155409109231648
DSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DSV,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.263911922495684
DTB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.889480965137902
DTC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.539407780726143
DUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093765789318073
DVG,57.11079,0.14372,3.94519,0.1975,13.97507,1.22536,10.74469,10.42974,14.8414,2.00203,0.193122159223929
DVP,8.43129,2.42822,7.23705,26.03137,11.88866,1.95819,8.07962,18.46725,12.57264,1.93341,0.207543905990434
DVT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194714891781494
DXP,4.58309,0.81011,4.84449,19.15084,11.88866,1.95819,8.07962,18.46725,12.57264,1.93341,1.32242552963941
DXV,30.33429,0.33833,3.08527,1.12163,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.379086898785801
DZM,20.09501,-3.32653,13.16924,0.0,9.35794,1.66102,14.98454,18.27028,14.47454,1.53489,0.0
E12,151.321,0.73789,10.23687,0.48989,15.9908,1.12669,10.54954,8.35249,11.90652,1.52102,0.66289815093808
E29,22.95255,0.85678,27.74531,3.75267,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.0197089610605778
EGL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC,22.8097,1.69845,359.85774,7.22796,7.77544,1.16765,6.73169,16.31052,12.57264,1.93341,-0.533092649741023
EME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.292058197004476
