Ticker,EntityType,MethodologyCoveragePct,MethodologyHave,MethodologyRequired,MissingCriticalMetrics,MethodologyReadiness
PC1,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
NT2,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
MWG,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
FRT,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
PNJ,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
FPT,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
CMG,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
GMD,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
HAH,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
VSC,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
VNM,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
MSN,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
SAB,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
DGC,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
DPM,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
DCM,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
CTD,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
HHV,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
C4G,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
VJC,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
HVN,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
