TargetTicker,Ticker,SimilarityScore,DistanceScore,MetricsCoverage,PeerPool,SimilarityBasis,PeerRank,CompanyName,LegalName,Sector,EntityType
EIB,OCB,0.8059770916913773,0.1940229083086226,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",3,OCB,Ngân hàng TMCP Phương Đông,Ngân hàng,BANK
EIB,NVB,0.803477562218303,0.196522437781697,0.81,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",4,NVB,NVB,Ngân hàng,BANK
EIB,BVB,0.8002674574103146,0.1997325425896854,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",5,BVB,BVB,Ngân hàng,BANK
EIB,PGB,0.7878481307052736,0.2121518692947264,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",6,PGB,PGB,Ngân hàng,BANK
EIB,MSB,0.7870457584743299,0.2129542415256701,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, CAR, ROE",7,MSB,Ngân hàng TMCP Hàng Hải Việt Nam,Ngân hàng,BANK
EIB,VBB,0.771862172578222,0.228137827421778,0.81,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NIM",8,VBB,VBB,Ngân hàng,BANK
EIB,BAB,0.7673120530263388,0.2326879469736612,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NIM",9,Bac A Bank,Ngân hàng TMCP Bắc Á,Ngân hàng,BANK
EIB,STB,0.7414268271411129,0.2585731728588871,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",10,Sacombank,Ngân hàng TMCP Sài Gòn Thương Tín,Ngân hàng,BANK
HDB,SHB,0.8094191522762951,0.1905808477237049,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",1,SHB,Ngân hàng TMCP Sài Gòn - Hà Nội,Ngân hàng,BANK
HDB,VIB,0.796162567591139,0.203837432408861,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, NPL, CAR",2,VIB,Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng,BANK
HDB,VPB,0.787883016454445,0.212116983545555,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NIM",3,VPBank,Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng,BANK
HDB,LPB,0.7785220070934357,0.2214779929065643,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",4,LPBank,Ngân hàng TMCP Lộc Phát Việt Nam,Ngân hàng,BANK
HDB,MBB,0.7722309436595151,0.2277690563404849,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NIM",5,MB Bank,Ngân hàng TMCP Quân đội,Ngân hàng,BANK
HDB,MSB,0.7445665445665446,0.2554334554334554,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, NPL, CAR",6,MSB,Ngân hàng TMCP Hàng Hải Việt Nam,Ngân hàng,BANK
HDB,VCB,0.7423338566195709,0.2576661433804291,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, CAR",7,Vietcombank,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng,BANK
HDB,TPB,0.7329728472585615,0.2670271527414384,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",8,TPBank,Ngân hàng TMCP Tiên Phong,Ngân hàng,BANK
HDB,ACB,0.7257398685970113,0.2742601314029886,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, CAR",9,ACB,Ngân hàng TMCP Á Châu,Ngân hàng,BANK
HDB,CTG,0.7213907785336356,0.2786092214663643,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, CAR",10,VietinBank,Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng,BANK
KLB,ABB,0.7633118204546776,0.2366881795453223,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",1,ABB,ABB,Ngân hàng,BANK
KLB,VAB,0.7450898308041165,0.2549101691958835,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, NPL, CASA",2,VAB,VAB,Ngân hàng,BANK
KLB,BVB,0.7216698645270073,0.2783301354729927,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, CASA, LDR",3,BVB,BVB,Ngân hàng,BANK
KLB,NAB,0.7128670271527414,0.2871329728472586,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",4,Nam A Bank,Ngân hàng TMCP Nam Á,Ngân hàng,BANK
KLB,LPB,0.6935868364439792,0.3064131635560208,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",5,LPBank,Ngân hàng TMCP Lộc Phát Việt Nam,Ngân hàng,BANK
KLB,HDB,0.6853770568056281,0.3146229431943718,0.91,Ngân hàng niêm yết/ĐKGD,"ROE, TotalAssets, NIM",6,HDBank,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ngân hàng,BANK
KLB,PGB,0.6695738124309553,0.3304261875690447,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, CAR, NPL",7,PGB,PGB,Ngân hàng,BANK
KLB,BAB,0.6691551834408977,0.3308448165591023,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, NPL, CAR",8,Bac A Bank,Ngân hàng TMCP Bắc Á,Ngân hàng,BANK
KLB,VBB,0.6676750930825005,0.3323249069174995,0.81,Ngân hàng niêm yết/ĐKGD,"TotalAssets, NPL, CASA",9,VBB,VBB,Ngân hàng,BANK
KLB,MSB,0.6448398162683877,0.3551601837316123,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, NIM, CAR",10,MSB,Ngân hàng TMCP Hàng Hải Việt Nam,Ngân hàng,BANK
LPB,NAB,0.8114076399790685,0.1885923600209315,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",1,Nam A Bank,Ngân hàng TMCP Nam Á,Ngân hàng,BANK
